Expense Type,Sub-type,Purpose,Notes,Date of Sale,Location at Point of Sale,Country of Activity,City of Activity,Amount (USD),Code,
Travel,Meals,Final Activity: attending / helping with neighborhood launch party.,Dinner,8/26/15,"Semarang, IND",Indonesia,Semarang,6.52,RNI/IND,
Travel,Meals,Final Activity: attending / helping with neighborhood launch party.,Breakfast,8/27/15,"Semarang, IND",Indonesia,Semarang,6.28,RNI/IND,
Travel,Incidentals,Final Activity: attending / helping with neighborhood launch party.,Battery charger for camera,8/28/15,"Semarang, IND",Indonesia,Semarang,24.61,RNI/IND,
Travel,Incidentals,Final Activity: attending / helping with neighborhood launch party.,Presents for volunteers,8/28/15,"Semarang, IND",Indonesia,Semarang,10.91,RNI/IND,
Travel,Meals,Final Activity: attending / helping with neighborhood launch party.,Lunch,8/28/15,"Semarang, IND",Indonesia,Semarang,6.08,RNI/IND,
Travel,Meals,Final Activity: attending / helping with neighborhood launch party.,Lunch w/ Grobak Hysteria,8/29/15,"Semarang, IND",Indonesia,Semarang,10.99,RNI/IND,
Travel,Lodging,Final Activity: attending / helping with neighborhood launch party.,Hotel,9/1/15,"Semarang, IND",Indonesia,Semarang,433.19,RNI/IND,
Travel,Meals,Final Activity: attending / helping with neighborhood launch party.,Lunch,9/2/15,"Jakarta, IND",Indonesia,Semarang,11.92,RNI/IND,
Travel,Meals,Final Activity: attending / helping with neighborhood launch party.,Dinner,9/2/15,"Jakarta, IND",Indonesia,Semarang,9.15,RNI/IND,
Travel,Coffee,Final Activity: attending / helping with neighborhood launch party.,Coffee,9/3/15,"Jakarta, IND",Indonesia,Semarang,5.05,RNI/IND,
Travel,Ground Transportation,Final Activity: attending / helping with neighborhood launch party.,Taxi,9/3/15,"Jakarta, IND",Indonesia,Semarang,10.23,RNI/IND,
Travel,Lodging,Final Activity: attending / helping with neighborhood launch party.,Hotel,9/3/15,"Jakarta, IND",Indonesia,Semarang,169.85,RNI/IND,
Travel,Ground Transportation,Final Activity: attending / helping with neighborhood launch party.,Airport Parking,9/5/15,"Atlanta, GA",Indonesia,Semarang,122.40,RNI/IND,
Contractor,Training,OSM and Ushahidi training,Implemented by HOT Indonesia,10/6/15,"Jakarta, IND",Indonesia,Semarang,4361.5,RNI/IND,
Travel,Hotel,Rockefeller Mtng in NYC,Not sure which card was used to pay this! Shared a room with colleague.,Apr-14,?,USA,New York,?,RNI,
Travel,Meals,Rockefeller Mtng and State of the Map conference,"Mix of DC and NY: see PDF ""NY-DC_Meals_Incidentals.pdf"" for individual reciepts",Multiple,"Washington, D.C. and New York City",USA,"Washington, D.C. and New York City",215.07,RNI,
Travel,Meal,Attending KNOW4DRR workshop,5 meals (values converted from Euros to Dollars using Google).,Multiple,"Salzburg, Austria",Austria,Salzburg,151.29,RNI,
Travel,Ground Transportation,Attending KNOW4DRR workshop,3 trips on local buses (values converted from Euros to Dollars using Google).,Multiple,"Salzburg, Austria",Austria,Salzburg,13.1,RNI,
Travel,Foreign Transaction Fees,Attending KNOW4DRR workshop,For using my credit card,Multiple,Multiple,Multiple,Multiple,28.38,RNI,
Travel,Ground Transportation,Final Activity: attending / helping with neighborhood launch party.,RT airport transportation,Multiple,"Jakarta, IND",Indonesia,Semarang,25.97,RNI/IND,
Travel,Ground Transportation,Final Activity: attending / helping with neighborhood launch party.,Taxis (multiple),Multiple,"Semarang, IND",Indonesia,Semarang,29.68,RNI/IND,
Travel,Incidentals,Rockefeller Workshops in VN & IND,ATM fees for cash,Multiple,Multiple,Indonesia,Semarang,14.63,RNI/IND,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
